"","ZR751_EV","ZR751_EVA","ZR751_OV","ZR751_OVA"
"GK3P",1,0,1,1
"MSMO1",4572,7062,4534,5360
"CPE",13034,19069,12370,13871
"MIR578",0,1,1,2
"LINC01179",0,0,2,0
"TLL1",79,116,60,68
"ANXA10",8,0,4,8
"DDX60",4192,1604,2956,2850
"DDX60L",1865,958,1379,1297
"PALLD",459,591,482,390
"CBR4",1195,1462,1265,1334
"SH3RF1",1836,2344,1614,1611
"NEK1",687,881,676,704
"CLCN3",5017,6604,4409,4786
"HPF1",877,1145,886,865
"LINC02275",20,52,32,26
"MFAP3L",1816,2264,1603,1856
"AADAT",286,301,258,267
"GALNTL6",28,29,20,25
"GALNT7",6069,8040,5408,6231
"MIR548T",0,0,0,2
"HMGB2",5562,7664,7046,6177
"SAP30",646,944,844,750
"SCRG1",8,2,1,4
"LINC02268",2,4,1,1
"FBXO8",847,1224,824,886
"CEP44",1245,1384,1161,1247
"HPGD",61,93,57,83
"GLRA3",3,3,4,2
"ADAM29",2,0,0,1
"GPM6A",14,8,3,3
"GPM6A-DT",0,1,0,0
"WDR17",406,454,421,404
"SPATA4",4,6,11,6
"ASB5",1,1,1,4
"SPCS3",4715,6135,4813,4830
"VEGFC",119,165,140,139
"NEIL3",903,1246,1027,939
"AGA",838,1143,789,882
"LINC01098",0,0,1,0
"LINC01099",0,0,2,0
"TENM3",1488,1603,1422,1209
"DCTD",4106,5286,4224,4021
"WWC2-AS2",25,25,31,22
"WWC2",3488,3993,3028,3023
"WWC2-AS1",1,0,0,0
"CLDN24",4,1,2,3
"CDKN2AIP",1125,1333,1095,1032
"ING2",1236,1528,1472,1237
"RWDD4",690,919,651,662
"TRAPPC11",3373,4295,3011,3258
"STOX2",38,26,23,21
"ENPP6",1,0,0,0
"IRF2",912,1067,867,944
"CASP3",2280,2773,2361,2071
"PRIMPOL",503,602,492,545
"CENPU",3092,4060,3861,3271
"ACSL1",4385,7140,4064,5127
"MIR3945HG",0,1,0,0
"LINC01093",0,2,0,2
"HELT",0,1,0,0
"SLC25A4",1806,2511,1820,1696
"CFAP97",1591,1954,1486,1478
"SNX25",1248,1779,1247,1292
"LRP2BP",170,188,173,185
"ANKRD37",58,75,58,52
"UFSP2",915,1344,911,895
"C4orf47",27,19,36,21
"CCDC110",93,98,95,94
"PDLIM3",5,17,21,10
"SORBS2",15,19,9,17
"TLR3",137,113,103,85
"FAM149A",58,67,48,60
"CYP4V2",47,59,40,45
"KLKB1",3,2,4,2
"MTNR1A",6,1,2,0
"FAT1",9256,11356,7251,7642
"ZFP42",0,1,4,0
"TRIML2",20,24,26,24
"TRIML1",0,1,0,0
"FRG1",136,67,124,12
"DBET",1,0,0,0
"PLEKHG4B",99,84,88,83
"LRRC14B",1,3,6,3
"CCDC127",830,1185,1017,877
"SDHA",11067,15282,11262,10097
"PDCD6",6437,8311,6385,6423
"AHRR",1490,1655,1366,1242
"EXOC3",4823,6203,5360,4254
"SLC9A3",606,614,651,445
"CEP72",458,572,606,473
"TPPP",313,332,317,205
"ZDHHC11B",109,102,100,98
"ZDHHC11",704,757,801,742
"BRD9",2892,3481,3158,2725
"TRIP13",2474,3108,2872,2457
"NKD2",2,3,4,1
"SLC12A7",434,531,515,393
"TERLR1",0,0,0,1
"TERT",70,80,105,54
"CLPTM1L",3205,3964,3804,2621
"LPCAT1",28,23,36,20
"MRPL36",947,1318,1214,989
"NDUFS6",1910,2639,3131,1866
"LINC02116",0,0,0,1
"IRX4",125,156,152,98
"IRX2",1387,1714,1665,1309
"ADAMTS16",0,1,1,1
"ICE1",4038,4952,3779,3885
"MED10",1218,1819,1488,1197
"UBE2QL1",276,270,294,198
"NSUN2",8586,11370,8265,7991
"SRD5A1",1051,1293,1115,1045
"LINC02102",19,12,6,10
"TENT4A",3365,4250,3509,3135
"MIR4278",0,0,1,0
"ADCY2",162,157,143,118
"C5orf49",86,83,112,62
"MTRR",2033,2573,1788,1848
"FASTKD3",788,900,750,784
"LINC02226",2,1,3,1
"MIR4458HG",99,142,138,121
"SEMA5A",16,20,16,10
"TAS2R1",1,0,0,0
"LINC02112",0,1,0,0
"ATPSCKMT",923,1314,898,985
"CCT5",19777,27276,19683,20482
"CMBL",2453,3956,2665,2821
"MARCHF6",12787,15590,11985,13338
"ROPN1L",16,19,6,7
"ANKRD33B",17,38,11,14
"DAP",7138,9211,7034,6538
"CTNND2",1950,2110,1834,1531
"DNAH5",61,102,67,59
"TRIO",5544,6367,5267,4811
"OTULINL",268,506,287,394
"OTULIN",1600,2068,1409,1564
"ANKH",300,278,295,296
"FBXL7",37,53,33,30
"MARCHF11",0,2,4,1
"LINC02150",1,1,0,3
"ZNF622",1914,2682,2121,1887
"RETREG1",1494,1987,1457,1473
"RETREG1-AS1",24,17,15,13
"MYO10",3036,3862,2481,2685
"BASP1",447,390,459,271
"LINC02111",2,0,0,0
"CDH18",20,21,12,20
"CDH12",0,0,1,1
"PRDM9",0,1,0,1
"CDH10",0,0,0,1
"LINC02239",0,0,0,3
"PURPL",12,11,12,12
"DROSHA",5573,7164,5176,5164
"C5orf22",1816,2159,1658,1827
"PDZD2",433,471,337,400
"GOLPH3",5580,7249,5364,5364
"MTMR12",2974,3593,2544,2636
"ZFR",4583,5644,4339,4352
"MIR579",3,1,1,1
"SUB1",4173,5649,4763,4549
"NPR3",864,837,667,621
"TARS1",5917,7958,5792,5407
"ADAMTS12",2,5,5,5
"SLC45A2",1,3,0,0
"AMACR",66,63,65,46
"C1QTNF3",249,272,310,258
"RAI14",343,344,314,255
"TTC23L",6,7,4,9
"RAD1",1265,1589,1233,1165
"BRIX1",1770,2361,1886,1806
"DNAJC21",3428,4461,3442,3289
"AGXT2",4,4,3,4
"PRLR",4158,4854,3488,3938
"SPEF2",519,560,543,546
"IL7R",1,2,0,0
"CAPSL",1,1,0,1
"UGT3A1",0,1,0,1
"UGT3A2",129,128,101,105
"LMBRD2",1513,1673,1225,1413
"SKP2",1669,1774,1743,1730
"NADK2",1246,1564,1216,1216
"RANBP3L",0,1,2,3
"SLC1A3",27,10,16,19
"NIPBL-DT",97,79,85,90
"NIPBL",4936,5860,4724,4837
"CPLANE1",1196,1394,1038,1194
"NUP155",2682,3045,2258,2234
"WDR70",890,1230,999,961
"GDNF",1,5,1,3
"EGFLAM",3,2,1,0
"EGFLAM-AS4",0,1,0,0
"LIFR",134,156,126,118
"LIFR-AS1",11,15,9,10
"OSMR",533,560,450,536
"RICTOR",2077,2278,1679,2004
"FYB1",5,0,0,2
"C9",0,1,0,0
"DAB2",79,99,58,45
"PTGER4",31,37,24,41
"TTC33",389,468,313,379
"PRKAA1",2848,3601,2475,2864
"RPL37",12183,18828,15932,14246
"SNORD72",4,0,0,3
"CARD6",1,5,4,3
"PLCXD3",0,3,2,5
"OXCT1",2511,3690,2183,2438
"OXCT1-AS1",0,1,2,0
"RIMOC1",2422,2897,1986,2344
"FBXO4",353,522,389,384
"GHR",1304,1655,1071,1299
"CCDC152",26,20,23,33
"SELENOP",679,778,552,611
"ANXA2R-OT1",25,24,23,26
"ANXA2R",61,67,56,50
"ANXA2R-AS1",139,163,137,126
"ZNF131",1922,2379,2031,1918
"NIM1K",10,15,21,16
"HMGCS1",7284,11792,6293,7830
"CCL28",3251,3986,3330,3457
"TMEM267",862,964,854,883
"C5orf34",629,693,646,611
"PAIP1",3793,5029,3488,3630
"NNT",2369,3066,2007,2159
"FGF10",1,3,1,0
"MRPS30",1399,1738,1465,1372
"HCN1",0,2,0,3
"EMB",3529,4318,3227,3650
"PARP8",344,397,335,302
"PELO",1024,1394,963,895
"ITGA1",23,9,7,10
"ITGA2",3326,3750,2765,2858
"MOCS2",2165,2914,2396,2242
"MOCS2-DT",176,277,173,182
"FST",18,27,12,19
"NDUFS4",1797,2579,2139,1757
"ARL15",305,397,279,313
"MIR581",0,0,0,1
"HSPB3",2,0,0,0
"SNX18",1898,2293,1649,1767
"ESM1",0,1,0,0
"GZMA",2,1,2,6
"CDC20B",28,18,34,23
"GPX8",436,766,462,510
"MCIDAS",345,356,371,252
"CCNO",2574,2650,3467,1779
"DHX29",2999,3780,2592,2864
"MTREX",3258,4019,2932,3133
"PLPP1",189,283,189,190
"SLC38A9",536,738,545,644
"DDX4",10,11,3,8
"IL31RA",3,3,1,5
"IL6ST",5040,5866,4505,4869
"IL6ST-DT",12,10,6,9
"LINC01948",17,9,16,12
"MAP3K1",2460,3206,2275,2333
"SETD9",275,425,327,297
"MIER3",1859,2090,1456,1685
"GPBP1",8715,10846,8694,8622
"ACTBL2",1,4,4,1
"LINC02225",0,2,2,2
"LINC02101",0,2,2,1
"PLK2",7820,12566,7769,7224
"GAPT",0,0,0,1
"LINC02108",0,1,0,0
"RAB3C",3,0,0,0
"PDE4D",303,439,238,277
"PART1",35,49,32,37
"DEPDC1B",974,1237,930,1023
"ELOVL7",1523,1667,1355,1315
"ERCC8",446,567,446,406
"NDUFAF2",407,605,524,384
"SMIM15",2160,2734,2244,2231
"ZSWIM6",963,1168,936,878
"KIF2A",2701,3139,2131,2418
"DIMT1",971,1313,1117,1074
"IPO11",788,899,564,666
"LRRC70",20,26,27,28
"RNF180",157,201,139,168
"RGS7BP",1,0,0,2
"SHISAL2B",0,1,0,0
"SREK1IP1",1112,1336,1062,1128
"CWC27",846,1232,886,811
"ADAMTS6",11,8,4,8
"CENPK",907,1069,1091,1049
"PPWD1",1668,1962,1705,1664
"TRIM23",557,741,531,556
"TRAPPC13",1535,1982,1468,1508
"SGTB",199,255,155,181
"NLN",2400,3163,2144,2277
"ERBIN",5452,6365,4790,5016
"SREK1",5550,6589,5984,5925
"MAST4",1235,1544,1158,1129
"CD180",7,3,0,3
"PIK3R1",1676,2050,1408,1562
"SLC30A5",3275,4444,2988,3334
"CCNB1",8459,12162,9750,9292
"CENPH",923,1204,1073,1021
"MRPS36",279,415,310,294
"CDK7",4,5,14,5
"CCDC125",37,112,40,41
"RAD17",72,119,154,130
"MARVELD2",38,47,34,38
"OCLN",26,24,62,20
"GTF2H2",39,73,42,67
"GTF2H2C",2,7,4,4
"SERF1B",0,1,1,1
"SMN2",2,3,18,2
"SERF1A",0,1,1,0
"SMN1",2,0,3,2
"NAIP",4,3,2,0
"BDP1",0,1,1,0
"MCCC2",19843,31673,18830,24479
"CARTPT",0,1,0,1
"MAP1B",142,255,120,150
"MRPS27",4635,6782,4590,4705
"PTCD2",520,698,513,560
"ZNF366",0,1,0,0
"TNPO1",5656,6903,4629,5233
"FCHO2",1296,1602,1188,1281
"TMEM171",12,12,11,12
"TMEM174",0,1,2,2
"FOXD1",365,447,404,287
"BTF3",15011,21039,16894,15588
"ANKRA2",861,1149,988,854
"UTP15",1494,1950,1508,1544
"ARHGEF28",785,1442,751,893
"LINC01331",0,2,2,0
"ENC1",5573,6502,5076,5279
"HEXB",4223,5555,3848,4076
"GFM2",3562,4784,3315,3386
"NSA2",2422,3605,2990,2648
"FAM169A",296,358,246,273
"GCNT4",8,12,1,9
"ANKRD31",70,133,85,104
"HMGCR",5796,8271,4993,5527
"CERT1",1532,2040,1395,1490
"POLK",1093,1364,1134,1114
"ANKDD1B",84,74,95,97
"POC5",1050,1313,1137,1100
"SV2C",2,10,6,4
"IQGAP2",112,113,77,82
"F2RL2",0,1,0,0
"F2R",98,128,95,106
"F2RL1",580,722,484,493
"S100Z",0,0,0,1
"CRHBP",0,0,2,0
"AGGF1",3240,4036,3123,3053
"ZBED3",41,46,54,41
"SNORA47",0,2,2,2
"PDE8B",153,190,130,153
"WDR41",1995,2814,1991,2030
"OTP",9,9,8,7
"TBCA",2719,3870,3508,2958
"AP3B1",4212,5496,3830,3986
"SCAMP1-AS1",118,111,113,99
"SCAMP1",2617,3216,2277,2699
"LHFPL2",1673,2196,1592,1628
"ARSB",547,626,433,464
"DMGDH",3,5,9,8
"BHMT2",1,2,3,1
"BHMT",2,2,2,2
"JMY",1360,1634,1200,1387
"HOMER1",1486,1729,1333,1416
"TENT2",3464,4429,3264,3660
"CMYA5",977,973,967,1022
"MTX3",1844,2241,1646,1898
"THBS4",19,27,27,25
"THBS4-AS1",26,20,18,28
"SERINC5",6455,8489,5357,6060
"ZFYVE16",4184,4713,3710,4191
"FAM151B",91,128,110,73
"ANKRD34B",125,110,110,137
"LINC01337",11,7,14,10
"DHFR",2004,2614,2220,1938
"MSH3",1637,2045,1541,1452
"RASGRF2",53,68,70,66
"CKMT2",21,33,28,30
"CKMT2-AS1",218,300,223,223
"ZCCHC9",808,1102,929,928
"ACOT12",7,5,9,4
"SSBP2",1672,2217,1775,1702
"ATG10",345,477,354,388
"RPS23",16673,26701,21089,18715
"TMEM167A",4188,5880,3827,4485
"SCARNA18",0,2,0,0
"XRCC4",454,603,447,408
"VCAN",23,31,20,20
"VCAN-AS1",1,1,0,0
"HAPLN1",5,5,2,7
"EDIL3",184,213,166,125
"COX7C",13979,20925,16661,15564
"RASA1",2937,3455,2477,2663
"CCNH",1264,1768,1267,1286
"TMEM161B",1158,1362,1056,1225
"TMEM161B-DT",121,139,132,137
"LINC02060",0,0,0,2
"LINC00461",21,19,32,29
"MEF2C",1,0,0,2
"CETN3",629,842,707,653
"MBLAC2",342,402,331,359
"POLR3G",154,203,198,194
"LYSMD3",835,1038,758,859
"ADGRV1",663,821,575,601
"ARRDC3",1171,999,1061,1192
"ARRDC3-AS1",45,37,44,42
"NR2F1-AS1",8,8,4,11
"NR2F1",43,63,94,57
"FAM172A",844,1184,804,849
"POU5F2",0,2,3,2
"KIAA0825",95,96,80,94
"SLF1",809,1099,869,863
"MCTP1",92,95,75,72
"FAM81B",6,8,8,4
"SKIC3",6522,8609,6235,6569
"ARSK",67,106,93,87
"GPR150",2,3,1,1
"RFESD",31,50,46,41
"SPATA9",8,14,4,17
"RHOBTB3",789,1168,759,1034
"GLRX",269,309,250,234
"LINC01554",6,7,5,3
"ELL2",1321,2125,1015,1544
"PCSK1",4,6,0,4
"CAST",8038,10735,7298,7668
"ERAP1",3204,2859,2491,2457
"ERAP2",233,200,222,242
"LNPEP",1379,1428,976,1148
"LIX1",11,8,3,4
"RIOK2",1672,2176,1663,1665
"LINC01340",0,2,2,2
"RGMB",4378,5064,4121,3962
"RGMB-AS1",195,182,215,195
"CHD1",3281,3905,3060,3229
"CHD1-DT",42,44,45,22
"FAM174A",937,1206,1139,738
"ST8SIA4",8,12,1,5
"SLCO4C1",54,92,66,61
"PAM",4716,6581,4325,4536
"GIN1",371,551,470,446
"PPIP5K2",3101,3699,2441,3018
"MACIR",1348,1643,1291,1497
"LINC02115",3,2,1,2
"NUDT12",1258,1562,1297,1194
"LINC01950",0,1,0,0
"EFNA5",376,557,416,427
"FBXL17",1113,1341,996,1004
"FER",156,238,186,195
"PJA2",3574,4514,2946,3352
"MAN2A1",4327,5261,3431,3851
"TMEM232",17,25,12,22
"SLC25A46",2125,2715,1881,2064
"WDR36",1818,2023,1590,1649
"CAMK4",1,4,0,2
"STARD4",798,1080,703,832
"STARD4-AS1",41,47,31,36
"NREP",115,119,128,101
"NREP-AS1",0,1,0,0
"EPB41L4A",1404,2057,1494,1616
"SNORA13",15,15,8,10
"EPB41L4A-DT",26,17,27,23
"APC",1533,1920,1488,1474
"SRP19",1565,2382,1955,1746
"REEP5",13693,18881,13128,13846
"DCP2",3887,4509,3331,3881
"MCC",528,633,450,434
"TSSK1B",3,9,4,1
"YTHDC2",3191,3777,2903,3092
"KCNN2",16,17,12,16
"TRIM36",578,767,546,617
"PGGT1B",1395,1841,1276,1422
"CCDC112",389,471,401,408
"FEM1C",1038,1228,901,1043
"TICAM2",0,1,0,0
"TMED7",1709,2017,1332,1884
"CDO1",1,2,1,3
"ATG12",2245,2830,2296,2402
"AP3S1",2567,3441,2689,2652
"LVRN",76,96,85,90
"ARL14EPL",0,0,2,0
"COMMD10",1109,1572,1116,1249
"SEMA6A",139,129,96,106
"LINC02148",1,0,0,0
"LINC02215",0,1,1,5
"DTWD2",487,664,512,467
"MIR1244-2",37,49,43,45
"DMXL1",3323,3731,2666,3130
"MIR5706",0,1,0,0
"TNFAIP8",272,334,302,245
"HSD17B4",7512,10596,7539,7492
"FAM170A",6,9,10,6
"PRR16",9,6,8,7
"SRFBP1",551,656,596,507
"LOX",85,127,94,97
"ZNF474",9,11,12,13
"SNCAIP",1,1,1,3
"SNX2",3936,5267,3949,4008
"SNX24",387,477,447,387
"PPIC",1957,2357,2046,1799
"PRDM6",313,419,345,299
"CEP120",1118,1496,1145,1234
"CSNK1G3",1321,1781,1324,1494
"ZNF608",604,1038,588,701
"GRAMD2B",926,1051,767,789
"ALDH7A1",4477,6562,4654,4861
"PHAX",2299,3266,2246,2134
"TEX43",3,8,0,1
"LMNB1",5491,7272,6107,5554
"MARCHF3",91,105,111,53
"C5orf63",71,95,80,80
"MEGF10",12,21,16,12
"PRRC1",4428,5497,3777,4180
"SLC12A2-DT",438,506,477,453
"SLC12A2",2535,2921,1852,2016
"FBN2",60,75,64,64
"SLC27A6",58,93,46,75
"ISOC1",2493,3474,2644,2572
"MIR4633",0,0,2,2
"MIR4460",0,1,0,0
"ADAMTS19-AS1",34,38,49,34
"ADAMTS19",361,344,350,257
"MINAR2",0,1,0,1
"CHSY3",32,51,36,20
"HINT1",6249,8947,7074,6464
"LYRM7",506,599,556,553
"CDC42SE2",2613,3101,2283,2406
"RAPGEF6",2082,2788,1778,2285
"FNIP1",2196,2762,1914,2222
"ACSL6",25,43,28,36
"CSF2",0,0,1,0
"P4HA2-AS1",2,3,4,5
"P4HA2",3227,4709,3006,3276
"PDLIM4",0,1,0,0
"SLC22A4",88,130,81,75
"MIR3936HG",85,108,111,97
"MIR3936",13,17,15,12
"SLC22A5",2155,2637,2005,1949
"IRF1",2092,2021,1876,1442
"IL5",0,2,0,1
"RAD50",5147,6412,4832,4859
"TH2LCRR",21,35,34,26
"IL13",5,6,3,5
"IL4",4,2,0,2
"KIF3A",1506,1999,1371,1480
"CCNI2",8,25,24,19
"SEPTIN8",7371,9722,7483,7005
"SOWAHA",284,401,260,334
"SHROOM1",111,171,148,135
"GDF9",79,82,83,91
"UQCRQ",5505,8274,7250,5960
"LEAP2",46,75,64,84
"AFF4",7367,9032,6052,6636
"ZCCHC10",545,686,508,559
"HSPA4",11794,16053,11978,11254
"FSTL4",94,97,73,71
"C5orf15",1942,2493,2028,1819
"VDAC1",17748,25041,17285,18264
"TCF7",172,176,150,152
"SKP1",9278,13348,9363,9050
"PPP2CA",8755,11318,8622,8897
"CDKL3",121,144,95,116
"UBE2B",1532,2102,1462,1664
"CDKN2AIPNL",946,1322,1202,992
"LINC02999",2,0,0,1
"LINC01843",30,40,24,24
"JADE2",5048,6131,4683,4149
"SAR1B",4965,7339,4804,5241
"SEC24A",2849,3618,2232,2572
"CAMLG",1687,2404,2031,1685
"DDX46",9633,11728,9289,9050
"C5orf24",938,1119,902,1004
"TXNDC15",1492,2140,1615,1574
"PCBD2",893,1062,915,893
"CATSPER3",200,193,169,167
"PITX1",4031,4317,6432,2384
"PITX1-AS1",765,1004,883,817
"EPIST",1,1,7,6
"LINC02900",3,1,1,3
"MACROH2A1",15649,21534,16611,15907
"TIFAB",0,0,0,1
"SLC25A48",42,34,61,50
"IL9",1,0,0,0
"TGFBI",185,246,167,140
"SMAD5-AS1",3,3,4,0
"SMAD5",2416,2748,2105,2331
"SMIM32",5,6,8,2
"TRPC7",1,0,0,0
"SPOCK1",5,7,5,8
"KLHL3",11,30,25,16
"HNRNPA0",8346,11025,9343,7312
"MYOT",1,0,0,0
"PKD2L2",5,17,8,6
"FAM13B",2083,2499,1824,1781
"WNT8A",0,0,0,1
"NME5",46,73,51,57
"BRD8",4125,5616,4369,4340
"KIF20A",3836,5293,4163,4077
"CDC23",3522,4502,3364,3448
"GFRA3",7,7,17,12
"CDC25C",783,1127,930,863
"FAM53C",3427,4456,3177,3121
"KDM3B",10736,13485,9789,10147
"REEP2",34,57,47,33
"EGR1",15909,21989,16281,14187
"ETF1",13235,18130,12298,12556
"HSPA9",24701,35060,25176,23613
"SNORD63",13,13,9,7
"CTNNA1-AS1",4,9,3,2
"CTNNA1",32926,44133,31296,30481
"LRRTM2",29,19,21,35
"SIL1",3124,4162,3427,2978
"MATR3",12547,15562,11622,11944
"SNORA74A",6,0,3,6
"PAIP2",4633,6283,5178,4849
"SLC23A1",83,73,76,95
"MZB1",327,451,367,289
"PROB1",179,205,224,127
"SPATA24",311,385,337,259
"DNAJC18",195,242,240,213
"ECSCR",23,23,31,26
"STING1",1253,1638,1181,1177
"UBE2D2",6216,8118,6070,6286
"CXXC5",5925,7476,7477,4764
"PSD2",69,114,92,76
"NRG2",10,9,13,8
"PURA",894,1016,851,903
"IGIP",247,278,292,300
"CYSTM1",1661,2528,1713,1833
"PFDN1",2699,4031,3263,3058
"HBEGF",86,119,77,72
"SLC4A9",23,20,24,13
"ANKHD1-EIF4EBP3",35,42,25,34
"ANKHD1",293,382,318,362
"EIF4EBP3",15,18,45,8
"SRA1",1473,2048,1609,1379
"APBB3",1128,1332,1291,1118
"SLC35A4",6103,7707,5525,5542
"TMCO6",993,1239,1079,945
"CD14",72,118,90,67
"NDUFA2",3053,4363,4482,3211
"IK",6173,8774,6502,6355
"WDR55",6003,8162,5553,5551
"DND1",357,423,486,253
"HARS1",6315,8867,6886,6615
"HARS2",3824,5363,3611,3850
"ZMAT2",4556,6730,4437,4493
"VTRNA1-1",0,3,0,2
"VTRNA1-2",5,7,4,5
"VTRNA1-3",3,10,9,4
"PCDHA1",5,1,5,6
"PCDHA2",3,7,3,6
"PCDHA3",5,3,5,3
"PCDHA4",2,1,1,3
"PCDHA5",12,7,2,2
"PCDHA6",5,0,0,1
"PCDHA7",4,5,4,3
"PCDHA8",30,26,33,22
"PCDHA9",38,20,29,20
"PCDHA10",326,388,314,248
"PCDHA11",394,370,373,302
"PCDHA12",297,350,253,205
"PCDHA13",3,5,2,1
"PCDHAC1",36,39,17,29
"PCDHAC2",49,57,29,33
"PCDHB1",1,2,1,1
"PCDHB2",111,153,104,122
"PCDHB3",11,15,14,10
"PCDHB4",18,18,25,31
"PCDHB5",275,337,274,209
"PCDHB6",57,75,56,59
"PCDHB7",16,10,23,14
"PCDHB8",7,4,6,5
"PCDHB16",64,88,62,74
"PCDHB9",20,10,22,11
"PCDHB10",20,28,29,23
"PCDHB11",4,7,0,7
"PCDHB12",11,13,17,14
"PCDHB13",11,17,11,11
"PCDHB14",32,39,35,27
"PCDHB15",8,15,10,13
"SLC25A2",18,18,14,10
"TAF7",5405,7647,5413,5361
"PCDHGA1",7,5,2,7
"PCDHGA2",1,2,1,0
"PCDHGA3",1,1,0,1
"PCDHGB1",5,0,0,2
"PCDHGA4",35,25,14,32
"PCDHGB2",30,34,26,21
"PCDHGA5",16,20,17,17
"PCDHGB3",14,9,10,5
"PCDHGA6",18,16,24,19
"PCDHGA7",11,8,6,8
"PCDHGB4",0,0,4,1
"PCDHGA8",1,3,4,1
"PCDHGB5",1,0,0,0
"PCDHGA9",3,4,4,6
"PCDHGB6",12,9,8,4
"PCDHGA10",19,25,25,19
"PCDHGB7",5,4,7,5
"PCDHGA11",1,6,5,0
"PCDHGB8P",1,2,0,1
"PCDHGA12",4,2,2,1
"PCDHGC3",783,904,607,608
"PCDHGC4",13,2,5,6
"PCDHGC5",6,4,11,2
"DIAPH1",16826,23143,14916,15249
"DIAPH1-AS1",5,5,3,5
"HDAC3",3293,4428,3181,3386
"RELL2",1574,2022,1976,1215
"FCHSD1",62,121,76,82
"ARAP3",18,19,22,16
"PCDH1",3707,4713,3263,3171
"DELE1",3598,4740,3499,3231
"PCDH12",67,74,77,64
"RNF14",3977,5493,3504,4059
"GNPDA1",2471,3175,2458,2385
"NDFIP1",5253,7524,5188,5618
"SPRY4",94,101,96,66
"FGF1",0,2,3,2
"ARHGAP26",506,587,474,444
"ARHGAP26-AS1",0,0,1,0
"ARHGAP26-IT1",0,0,2,0
"NR3C1",1929,2414,1541,1770
"YIPF5",1624,2108,1353,1529
"KCTD16",4,1,4,1
"PRELID2",185,218,183,173
"GRXCR2",0,1,0,0
"SH3RF2",61,88,78,51
"PLAC8L1",37,32,28,42
"LARS1",7756,9982,7710,7594
"RBM27",2567,3139,2094,2350
"POU4F3",6,12,17,7
"TCERG1",6039,7496,6513,6360
"GPR151",0,4,1,2
"PPP2R2B",1,0,0,0
"STK32A",3,3,0,6
"DPYSL3",108,157,96,119
"JAKMIP2",1,0,0,0
"SPINK1",1,1,3,0
"C5orf46",1,1,1,0
"SPINK5",0,4,2,3
"SPINK14",0,1,1,0
"FBXO38-DT",1,2,2,2
"SPINK13",0,1,0,5
"SPINK7",0,1,0,0
"FBXO38",2869,3662,2796,2662
"HTR4",10,6,11,9
"ADRB2",2,0,0,0
"SH3TC2",28,23,20,27
"ABLIM3",191,239,139,215
"AFAP1L1",10,9,6,9
"GRPEL2",1525,1864,1533,1557
"PCYOX1L",2988,4079,3113,3097
"IL17B",2,2,2,4
"CSNK1A1",12211,15698,10666,11175
"ARHGEF37",878,2054,759,1526
"PPARGC1B",609,741,529,609
"MIR378A",4,0,1,0
"PDE6A",4,7,4,10
"SLC26A2",591,732,562,632
"TIGD6",656,763,623,601
"HMGXB3",8042,10426,7557,7865
"CSF1R",13,22,9,11
"PDGFRB",12,12,4,6
"SLC6A7",1,1,0,0
"CAMK2A",1,1,1,1
"ARSI",2,1,2,0
"TCOF1",8220,10249,8653,6928
"CD74",112,66,56,81
"RPS14",28105,40098,34877,30278
"NDST1-AS1",60,48,86,42
"NDST1",19208,24204,16975,16708
"SYNPO",1074,1271,1055,845
"MYOZ3",6,6,4,7
"RBM22",2945,3848,2856,2865
"DCTN4",5161,6536,4264,5013
"SMIM3",144,185,162,157
"IRGM",3,6,1,2
"ZNF300",43,53,42,43
"ZNF300P1",3,0,1,0
"GPX3",141,209,127,120
"TNIP1",6884,9128,6525,6192
"ANXA6",12969,17626,12243,12077
"CCDC69",184,304,190,202
"GM2A",3788,5410,3696,3797
"SLC36A3",0,1,1,0
"SLC36A2",1,0,1,1
"SLC36A1",1985,2628,1723,1840
"FAT2",49,88,59,86
"SPARC",6,6,17,8
"ATOX1",4130,5838,4332,4106
"G3BP1",9778,11839,8904,9720
"GLRA1",1,1,6,5
"LINC01933",4,4,6,4
"GRIA1",1,2,1,0
"FAM114A2",922,1284,957,934
"MFAP3",3488,4319,2973,3416
"GALNT10",13179,14895,11429,11321
"MIR1294",2,0,1,0
"SAP30L-AS1",227,180,174,159
"SAP30L",3722,4542,3594,3472
"HAND1",0,0,1,0
"LARP1",27826,33636,23945,24782
"MIR1303",0,0,5,0
"FAXDC2",32,32,35,45
"MIR378H",2,1,3,2
"CNOT8",2904,3930,2649,3044
"GEMIN5",2436,3201,2189,2356
"MRPL22",1537,2338,2133,1749
"KIF4B",104,162,160,124
"SGCD",2,3,2,5
"PPP1R2B",17,15,26,11
"TIMD4",1,2,2,1
"HAVCR1",1,3,1,1
"HAVCR2",18,47,40,24
"MED7",654,877,781,714
"ITK",0,0,1,0
"CYFIP2",7320,10401,6598,7361
"FNDC9",5,12,1,7
"NIPAL4",10,11,3,2
"ADAM19",911,1162,777,853
"SOX30",7,8,6,3
"THG1L",799,1177,860,804
"LSM11",677,835,652,678
"CLINT1",10680,13665,9327,10173
"EBF1",0,0,1,0
"LINC02202",2,0,0,0
"RNF145",1231,1765,1090,1111
"UBLCP1",1190,1586,1123,1295
"IL12B",1,1,0,0
"LINC01847",0,0,0,1
"ADRA1B",54,125,49,77
"TTC1",2815,3991,3189,2978
"PWWP2A",1383,1653,1409,1330
"FABP6",1,1,5,3
"CCNJL",737,959,773,620
"C1QTNF2",18,28,29,20
"ZBED8",360,341,301,350
"SLU7",4670,6395,4770,4699
